"wages,num_children,pre_tax_deductions,itemized_deductions,raise_percent,months_elapsed,pay_frequency_biweekly,pay_frequency_monthly,pay_frequency_weekly,adjusted_wages,tax,target_with_noise,target_tax_bracket"
"45795,1,3453,0,18.121317713727304,3,True,False,False,50640.65744700142,-2424.487845737447,2051.2525957601133,5064.065744700142"
"30860,2,6675,0,5.333503933239552,6,False,False,True,25830.919313797724,-6237.056051465171,-1933.5264548961823,2583.0919313797726"
"133694,2,955,1,14.49712998630034,8,False,True,False,152120.79296388436,10352.579296388436,6669.663437110748,15212.079296388438"
"149879,1,6295,0,17.55294039301563,9,True,False,False,169892.17153164788,12526.056797310386,11591.373722531831,16989.217153164787"
"140268,3,15921,0,0.8331363676536485,1,False,True,False,125515.62372018042,-17153.042203497746,4041.2498976144343,12551.562372018043"
"106820,0,18096,0,7.952951591840723,3,False,True,False,97219.34289040427,-13771.67464160984,7777.547431232341,9721.934289040428"
"84886,3,15282,0,15.246180640438771,3,True,False,False,82545.87289844285,-14613.454766308394,603.6698318754279,8254.587289844285"
"36265,4,4703,0,9.09837779015174,11,False,True,False,34861.52670559853,-3262.8775779802017,-5211.077863552117,3486.1526705598535"
"112386,2,6563,1,5.345052595871906,8,False,True,False,111830.09081039659,1276.3090810396588,3446.407264831727,11183.00908103966"
"67194,0,12003,1,4.3961069764638,1,False,False,True,58144.920121765084,-13126.150998477937,3151.593609741207,5814.492012176509"
"117498,0,10817,1,2.6303653383275583,5,False,True,False,109771.62666522812,-5280.210833423243,7281.730133218251,10977.162666522812"
"142727,4,11171,1,17.142591197125647,3,False,True,False,156023.1061379215,-10901.221019827944,2981.848491033721,15602.310613792151"
"74131,4,12582,1,11.50710806503112,2,False,True,False,70079.33427968822,-16515.466643007792,-3893.653257624942,7007.933427968823"
"90263,1,12201,1,1.5276988998291197,8,False,True,False,79440.94685795275,-6036.805314204727,2855.2757486362198,7944.094685795275"
"46023,2,17778,0,7.651606471412709,3,True,False,False,31766.498846338276,-17920.081293262316,-1458.6800922929378,3176.6498846338277"
"71090,2,12473,1,7.354673016102198,7,False,False,True,63845.43704714705,-9795.136758374632,-392.365036228236,6384.543704714705"
"97221,3,9461,1,3.63478381418926,12,False,True,False,91293.77317199294,652.2159757989393,-196.49814624056398,9129.377317199294"
"94820,1,15596,0,8.710152509443814,11,False,True,False,87482.96660945464,-2422.6420911999867,4998.637328756371,8748.296660945465"
"30769,1,529,0,6.641987307862729,1,True,False,False,32283.673074756283,-1118.8415865655463,582.6938459805028,3228.3673074756284"
"89735,1,19342,1,6.836074109843651,6,False,True,False,76527.35110246821,-15151.798667314884,2622.1880881974566,7652.735110246821"
"92955,1,19975,0,14.780531155759174,3,True,False,False,86719.24273583594,-16973.965897406153,4937.539418866875,8671.924273583594"
"94925,2,12765,1,4.465267710103927,8,False,False,True,86398.65537381616,-6848.634462618384,1411.8924299052933,8639.865537381616"
"97969,2,13910,0,12.837199177107108,6,False,False,True,96635.47566182006,-7619.089325363495,3730.8380529456053,9663.547566182007"
"35311,1,11561,1,11.412992477618698,12,False,True,False,27780.041773771933,-8659.843733934209,-1277.5966580982454,2778.0041773771936"
"133355,3,9131,0,11.361850246757346,2,False,True,False,139375.59539656327,-8418.335115085918,5150.047631725061,13937.559539656328"
"134724,0,525,0,13.26014692283552,6,False,True,False,152063.60034032093,10919.145025524069,12165.088027225675,15206.360034032094"
